pincode,state,latitude,longitude
305024,Rajasthan,26.46261024,74.69793701
305026,Rajasthan,26.55684662,74.46922302
305205,Rajasthan,26.31818008,74.62538147
305405,Rajasthan,25.46846581,74.79394531
305408,Rajasthan,25.8980217,75.22375488
305409,Rajasthan,25.61847115,75.27711487
305412,Rajasthan,26.24427605,75.0672226
305415,Rajasthan,26.01452065,75.30263519
305601,Rajasthan,26.27174187,74.79184723
305625,Rajasthan,25.92601395,74.62568665
305627,Rajasthan,26.14552307,74.84940338
305801,Rajasthan,26.59473038,74.878685
305812,Rajasthan,26.70528603,74.95510864
305816,Rajasthan,26.607584,74.98355103
305924,Rajasthan,25.68544006,73.97293854
305925,Rajasthan,26.04074097,74.29520416
305927,Rajasthan,26.01549721,74.23256683
306101,Rajasthan,26.31144714,74.19207764
306106,Rajasthan,25.79226685,73.83301544
306114,Rajasthan,25.8974762,73.80067444
306116,Rajasthan,25.29405022,73.28969574
306304,Rajasthan,26.03969955,74.02191162
306306,Rajasthan,26.07098198,73.83383179
306308,Rajasthan,26.33846283,73.88986206
306401,Rajasthan,25.8520546,73.39849091
306504,Rajasthan,24.90244484,73.14993286
306602,Rajasthan,25.53380394,73.133461
306603,Rajasthan,25.37343216,73.45269012
306701,Rajasthan,25.32152748,73.45010376
306702,Rajasthan,25.1644268,73.45966339
306703,Rajasthan,25.28969574,73.55529785
306704,Rajasthan,25.23293495,73.53111267
306706,Rajasthan,25.13459778,73.31832886
306902,Rajasthan,25.15078926,73.07911682
307026,Rajasthan,24.48539162,72.79058838
307027,Rajasthan,25.109972,73.05926514
307029,Rajasthan,25.44989014,72.78908539
307043,Rajasthan,24.98757935,72.90635681
307501,Rajasthan,24.62467575,72.76370239
307512,Rajasthan,24.74835014,72.54664612
307802,Rajasthan,24.8834877,72.58184814
311022,Rajasthan,25.86344528,74.7042923
311024,Rajasthan,25.6890316,74.58603668
311025,Rajasthan,25.21042061,74.7038269
311302,Rajasthan,25.87556839,74.30791473
311303,Rajasthan,25.6444397,74.33381653
311402,Rajasthan,25.38459969,74.38260651
311403,Rajasthan,25.46376801,74.52144623
311408,Rajasthan,25.54616928,74.83328247
311604,Rajasthan,25.22416115,75.08930206
311605,Rajasthan,25.35655975,75.13694763
311801,Rajasthan,25.19708252,74.26271057
311803,Rajasthan,25.33207893,74.06497955
311804,Rajasthan,25.4845314,74.23330688
311806,Rajasthan,25.18102455,74.21179199
312202,Rajasthan,24.87422562,74.29606628
312205,Rajasthan,24.75105286,74.20092773
312206,Rajasthan,25.13963509,74.429245
312606,Rajasthan,24.70455551,74.88974762
312901,Rajasthan,25.08712959,74.66539764
313001,Rajasthan,24.58522606,73.71121216
313011,Rajasthan,24.7031765,73.6397934
313022,Rajasthan,24.61119843,73.88739014
313024,Rajasthan,24.72764587,73.659935
313026,Rajasthan,24.02337837,73.94365692
313027,Rajasthan,24.15101051,74.04127502
313031,Rajasthan,24.43964958,73.5533371
313202,Rajasthan,24.77866364,73.77819061
313204,Rajasthan,24.82530022,73.89376831
313205,Rajasthan,24.74856186,74.06575775
313211,Rajasthan,24.95833397,74.11316681
313301,Rajasthan,24.9204464,73.81207275
313321,Rajasthan,24.95952988,73.63577271
313324,Rajasthan,25.07282448,73.89251709
313326,Rajasthan,25.05858231,73.88808441
313329,Rajasthan,25.02511406,74.09667969
313330,Rajasthan,25.26088905,74.0034256
313331,Rajasthan,25.53881836,73.91575623
313332,Rajasthan,25.27941704,73.94647217
313333,Rajasthan,25.11529732,73.84057617
313601,Rajasthan,24.65782166,74.02814484
313604,Rajasthan,24.37283325,74.26242065
313708,Rajasthan,24.76700783,73.30791473
313804,Rajasthan,23.93165207,73.46149445
313901,Rajasthan,24.34052467,73.75887299
313904,Rajasthan,24.1762352,73.7803421
313906,Rajasthan,24.48768234,73.35459137
314011,Rajasthan,23.90721512,73.60549164
314022,Rajasthan,23.83311653,74.17030334
314024,Rajasthan,23.78438759,73.97037506
314025,Rajasthan,23.85260582,73.98784637
314026,Rajasthan,23.54329681,73.99784088
314029,Rajasthan,23.71949959,73.9148941
314036,Rajasthan,23.85958099,73.84429932
314401,Rajasthan,23.63673019,73.90119171
314404,Rajasthan,23.70315742,73.72039032
314804,Rajasthan,23.89951324,73.54971313
321001,Rajasthan,27.20641136,77.48796082
321022,Rajasthan,27.65749741,77.282341
321203,Rajasthan,27.41124725,77.38497925
321204,Rajasthan,27.68425369,77.08322144
321205,Rajasthan,27.44193459,77.12147522
321406,Rajasthan,27.03615379,77.05475616
321407,Rajasthan,27.0901165,77.04336548
321408,Rajasthan,27.01799583,77.1724472
321409,Rajasthan,26.96973419,77.0397644
321601,Rajasthan,27.10413361,77.15855408
321602,Rajasthan,27.31788254,77.07801056
321607,Rajasthan,27.34111023,76.89631653
321608,Rajasthan,27.05184555,76.91921997
321609,Rajasthan,27.14211082,76.86585999
321611,Rajasthan,26.92165565,76.8134613
321612,Rajasthan,26.99315071,76.96252441
321614,Rajasthan,27.23270988,77.09018707
322001,Rajasthan,26.32316208,72.72519684
322021,Rajasthan,26.00956917,76.38471985
322023,Rajasthan,26.30564117,76.20484924
322028,Rajasthan,26.28568649,76.46963501
322030,Rajasthan,26.28571701,76.39794922
322201,Rajasthan,26.48322487,76.73208618
322202,Rajasthan,26.4712677,76.73677826
322203,Rajasthan,26.35309219,76.63311768
322204,Rajasthan,26.40966034,74.22280121
322206,Rajasthan,26.5490799,76.78455353
322212,Rajasthan,26.66460228,76.49495697
322215,Rajasthan,26.72280884,76.64833832
322219,Rajasthan,26.55059433,76.89277649
322230,Rajasthan,26.74147034,77.0332489
322242,Rajasthan,26.62819862,77.23460388
322243,Rajasthan,26.3208828,76.91656494
322252,Rajasthan,26.80875206,77.14659119
323001,Rajasthan,25.43953896,75.64243317
323021,Rajasthan,25.315382,75.71242523
323022,Rajasthan,25.16645813,75.54473877
